period,respondent,respondent-name,fueltype,type-name,value,value-units
2024-11-27 11:00:00,NY,New York,WAT,Hydro,2309,megawatthours
2024-11-27 10:00:00,NY,New York,WAT,Hydro,2183,megawatthours
2024-11-27 09:00:00,NY,New York,WAT,Hydro,2136,megawatthours
2024-11-27 08:00:00,NY,New York,WAT,Hydro,2127,megawatthours
2024-11-27 07:00:00,NY,New York,WAT,Hydro,1934,megawatthours
2024-11-27 06:00:00,NY,New York,WAT,Hydro,2183,megawatthours
2024-11-27 05:00:00,NY,New York,WAT,Hydro,2303,megawatthours
2024-11-27 04:00:00,NY,New York,WAT,Hydro,2852,megawatthours
2024-11-27 03:00:00,NY,New York,WAT,Hydro,3311,megawatthours
2024-11-27 02:00:00,NY,New York,WAT,Hydro,3399,megawatthours
2024-11-27 01:00:00,NY,New York,WAT,Hydro,3369,megawatthours
2024-11-27 00:00:00,NY,New York,WAT,Hydro,3509,megawatthours
2024-11-26 23:00:00,NY,New York,WAT,Hydro,3597,megawatthours
2024-11-26 22:00:00,NY,New York,WAT,Hydro,3436,megawatthours
2024-11-26 21:00:00,NY,New York,WAT,Hydro,3314,megawatthours
2024-11-26 20:00:00,NY,New York,WAT,Hydro,3284,megawatthours
2024-11-26 19:00:00,NY,New York,WAT,Hydro,3150,megawatthours
2024-11-26 18:00:00,NY,New York,WAT,Hydro,3051,megawatthours
2024-11-26 17:00:00,NY,New York,WAT,Hydro,3197,megawatthours
2024-11-26 16:00:00,NY,New York,WAT,Hydro,3298,megawatthours
2024-11-26 15:00:00,NY,New York,WAT,Hydro,3346,megawatthours
2024-11-26 14:00:00,NY,New York,WAT,Hydro,3406,megawatthours
2024-11-26 13:00:00,NY,New York,WAT,Hydro,3211,megawatthours
2024-11-26 12:00:00,NY,New York,WAT,Hydro,2457,megawatthours
2024-11-26 11:00:00,NY,New York,WAT,Hydro,2008,megawatthours
2024-11-26 10:00:00,NY,New York,WAT,Hydro,1838,megawatthours
2024-11-26 09:00:00,NY,New York,WAT,Hydro,1878,megawatthours
2024-11-26 08:00:00,NY,New York,WAT,Hydro,1852,megawatthours
2024-11-26 07:00:00,NY,New York,WAT,Hydro,1969,megawatthours
2024-11-26 06:00:00,NY,New York,WAT,Hydro,2096,megawatthours
2024-11-26 05:00:00,NY,New York,WAT,Hydro,2136,megawatthours
2024-11-26 04:00:00,NY,New York,WAT,Hydro,2796,megawatthours
2024-11-26 03:00:00,NY,New York,WAT,Hydro,3063,megawatthours
2024-11-26 02:00:00,NY,New York,WAT,Hydro,3219,megawatthours
2024-11-26 01:00:00,NY,New York,WAT,Hydro,3245,megawatthours
2024-11-26 00:00:00,NY,New York,WAT,Hydro,3544,megawatthours
2024-11-25 23:00:00,NY,New York,WAT,Hydro,3660,megawatthours
2024-11-25 22:00:00,NY,New York,WAT,Hydro,3338,megawatthours
2024-11-25 21:00:00,NY,New York,WAT,Hydro,3222,megawatthours
2024-11-25 20:00:00,NY,New York,WAT,Hydro,3153,megawatthours
2024-11-25 19:00:00,NY,New York,WAT,Hydro,2999,megawatthours
2024-11-25 18:00:00,NY,New York,WAT,Hydro,2924,megawatthours
2024-11-25 17:00:00,NY,New York,WAT,Hydro,2917,megawatthours
2024-11-25 16:00:00,NY,New York,WAT,Hydro,2931,megawatthours
2024-11-25 15:00:00,NY,New York,WAT,Hydro,2987,megawatthours
2024-11-25 14:00:00,NY,New York,WAT,Hydro,3123,megawatthours
2024-11-25 13:00:00,NY,New York,WAT,Hydro,3490,megawatthours
2024-11-25 12:00:00,NY,New York,WAT,Hydro,3147,megawatthours
2024-11-25 11:00:00,NY,New York,WAT,Hydro,2341,megawatthours
2024-11-25 10:00:00,NY,New York,WAT,Hydro,2082,megawatthours
2024-11-25 09:00:00,NY,New York,WAT,Hydro,2092,megawatthours
2024-11-25 08:00:00,NY,New York,WAT,Hydro,2097,megawatthours
2024-11-25 07:00:00,NY,New York,WAT,Hydro,2082,megawatthours
2024-11-25 06:00:00,NY,New York,WAT,Hydro,2141,megawatthours
2024-11-25 05:00:00,NY,New York,WAT,Hydro,2242,megawatthours
2024-11-25 04:00:00,NY,New York,WAT,Hydro,2772,megawatthours
2024-11-25 03:00:00,NY,New York,WAT,Hydro,3379,megawatthours
2024-11-25 02:00:00,NY,New York,WAT,Hydro,3405,megawatthours
2024-11-25 01:00:00,NY,New York,WAT,Hydro,3494,megawatthours
2024-11-25 00:00:00,NY,New York,WAT,Hydro,3528,megawatthours
2024-11-24 23:00:00,NY,New York,WAT,Hydro,3487,megawatthours
2024-11-24 22:00:00,NY,New York,WAT,Hydro,3323,megawatthours
2024-11-24 21:00:00,NY,New York,WAT,Hydro,3348,megawatthours
2024-11-24 20:00:00,NY,New York,WAT,Hydro,3258,megawatthours
2024-11-24 19:00:00,NY,New York,WAT,Hydro,3256,megawatthours
